objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll175,oocihm.lac_reel_c4715.1329.jpg,,,"List of Immigrant Children, 217621, p. 6","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Leopold House; Sheppard House; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1329,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.163
coll176,oocihm.lac_reel_c4715.1330.jpg,,,"List of Immigrant Children, 217621, p. 7","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; mittendorff house; Union Jack Shoeblack Brigade; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1330,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.164
coll177,oocihm.lac_reel_c4715.1331.jpg,,,"List of Immigrant Children, 217621, p. 8","Dr. Barnardo's Homes; Hoolihan, John",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The names of children are typed.",Union Jack Shoeblack Brigade; Dr. Barnardo’s Homes; passenger list; child identification; child origins; Pacific Ave; Toronto Boys' Home; Barnardo Industrial Farm; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1331,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.165
coll178,oocihm.lac_reel_c4715.1332.jpg,,,"List of Immigrant Children, p. 1","Dr. Barnardo's Homes; Hoolihan, John; Owen, Alfred B.",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form is filled in by hand.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Lambeth Union; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1332,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.166
coll179,oocihm.lac_reel_c4715.1333.jpg,,,"List of Immigrant Children, p. 2","Dr. Barnardo's Homes; Hoolihan, John; Owen, Alfred B.",1902-07-26,"List of Barnardo Home Children traveling from Liverpool to Boston, then sent to distributing homes in Toronto, Peterborough, Winnipeg, and Russel; The form is filled in by hand.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Lambeth Union; Hazel Brae; SS New England,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, July 26, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1333,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.167
coll180,oocihm.lac_reel_c4715.1334.jpg,,,"List of Immigrant Children, 210420","Dr. Barnardo's Homes; Owen, Alfred B.",1902-05-11,"List of Barnardo Home Children traveling from Liverpool to Quebec, then sent to distributing homes in Toronto, Peterborough, Winnipeg, or Russel; This list includes one child's name; The form is filled in by hand.",Dr. Barnardo’s Homes; passenger list; child identification; child origins; Camonlon Union Workhouse; SS Dominion,"Liverpool, England",53.440608,-3.003598,"Barnardo Homes. Form B, May 11, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1334,Image; Ship manifest; Handwritten,image/jpeg,eng,Public domain,CC-BY-4.168
coll181,oocihm.lac_reel_c4715.1335.jpg,,,"Bonus for Children, 208672, p. 1",Dr. Barnardo's Homes,1902-04-06,"List of names of Barnardo Home Children who arrived in Portland, Maine on the SS Dominion April 6, 1902 and presumably the year they were born; Children sent to homes in Toronto, Peterborough, and Winnipeg; Text is typed; page is ripped at the edges removing some text.",Dr. Barnardo’s Homes; passenger list; child identification; transactions; SS Dominion,"Toronto, Canada",43.646305,-79.405358,"Barnardo Homes. Bonus for Children, April 6, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1335,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.169
coll182,oocihm.lac_reel_c4715.1336.jpg,,,"Bonus for Children, 208672, p. 2",Dr. Barnardo's Homes,1902-04-06,"List of names of Barnardo Home Children who arrived in Portland, Maine on the SS Dominion April 6, 1902 and presumably the year they were born; Children sent to homes in Toronto, Peterborough, and Winnipeg; Text is typed; page is ripped at the edges.",Dr. Barnardo’s Homes; passenger list; child identification; transactions; SS Dominion,"Toronto, Canada",43.646305,-79.405358,"Barnardo Homes. Bonus for Children, April 6, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1336,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.170
coll183,oocihm.lac_reel_c4715.1337.jpg,,,"Bonus for Children, 208672, p. 3",Dr. Barnardo's Homes,1902-04-06,"List of names of Barnardo Home Children who arrived in Portland, Maine on the SS Dominion April 6, 1902 and presumably the year they were born; Children sent to homes in Toronto, Peterborough, and Winnipeg; Text is typed; page is ripped at the edges.",Dr. Barnardo’s Homes; passenger list; child identification; transactions; SS Dominion,"Toronto, Canada",43.646305,-79.405358,"Barnardo Homes. Bonus for Children, April 6, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1337,Image; Ship manifest; Typed,image/jpeg,eng,Public domain,CC-BY-4.171
coll184,oocihm.lac_reel_c4715.1338.jpg,,,"Dr. Barnardo's Canadian Distributing Homes, Ontario, Letter 206466, p. 1","Dr. Barnardo's Homes; Pedley, Frank, Superintendent of Immigration",1902-05-12,"Letter describing number of children brought to Canada in 1901, a discussion of their character, and the general process and objectives of the immigration scheme; Includes form templates; The letter is typed with handwritten notes and corrections.",Dr. Barnardo's Homes; boys' home; statistics; governance; Alfred B. Owen ,"Ottawa, Canada",45.424721,-75.695,"Barnardo Homes, Letter, May 12, 1902. Canadiana Collections,https://n2t.net/ark:/69429/m0jq0sq8r23ns.",oocihm.lac_reel_c4715.1338,Image; Letter,image/jpeg,eng,Public domain,CC-BY-4.172
